epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6509,3.53395,3.88432,2.60755,0.00051,0.06667,0.00034,0.00024,3.90371,4.23881,3.21746,0.00018,0.00018,0.00018
2,22.7445,3.32155,3.60484,2.13698,0.00269,0.46667,0.00314,0.0012,2.97298,3.88531,2.55308,0.000372476,0.000372476,0.000372476
3,34.099,2.78917,2.74931,2.09072,0.00407,0.86667,0.00525,0.00162,2.77373,3.60115,2.61516,0.000557032,0.000557032,0.000557032
4,45.1383,2.66567,2.58674,1.91345,0.00392,1,0.13833,0.03948,2.53844,2.98541,2.34783,0.000733668,0.000733668,0.000733668
5,56.2344,2.46165,2.55147,1.79147,0.00453,1,0.02148,0.00674,2.31347,3.24924,2.20607,0.000902384,0.000902384,0.000902384
6,67.3003,2.60909,2.5052,1.84569,0.01423,0.2,0.0146,0.00548,2.46656,20.5451,2.52464,0.00106318,0.00106318,0.00106318
7,78.2144,2.51474,2.45212,1.87845,0.00367,1,0.02077,0.00738,2.64819,3.17608,2.63217,0.00121606,0.00121606,0.00121606
8,89.266,2.41431,2.31638,1.81266,0.28065,0.20871,0.24329,0.09432,2.50789,2.80255,2.55764,0.00136101,0.00136101,0.00136101
9,100.439,2.59129,2.32079,1.8019,0.19049,0.13333,0.13576,0.04869,2.71901,2.80986,2.55703,0.00149805,0.00149805,0.00149805
10,111.456,2.40258,2.32959,1.78098,0.15802,0.53333,0.19323,0.09303,2.36056,3.2419,2.34028,0.00162716,0.00162716,0.00162716
11,122.599,2.59194,2.35877,1.89089,0.22529,0.46667,0.25773,0.11434,2.47869,3.0587,2.28923,0.001604,0.001604,0.001604
12,133.783,2.59938,2.30609,1.87319,0.62262,0.26667,0.29063,0.10037,2.65479,2.62726,2.62955,0.0015644,0.0015644,0.0015644
13,144.79,2.53951,2.27535,1.88816,0.71841,0.26667,0.31196,0.09561,2.61428,2.49767,2.49853,0.0015248,0.0015248,0.0015248
14,155.951,2.49997,2.21854,1.86642,0.10998,0.4,0.09415,0.02418,2.77897,2.50651,2.69892,0.0014852,0.0014852,0.0014852
15,167.187,2.36073,2.0812,1.78668,0.28728,0.4,0.19756,0.05134,2.74869,2.525,2.58566,0.0014456,0.0014456,0.0014456
16,178.495,2.41146,1.98385,1.82638,0.33281,0.26667,0.27286,0.11146,2.74484,2.32757,2.66572,0.001406,0.001406,0.001406
17,189.518,2.50358,2.04274,1.81188,0.23026,0.26667,0.19585,0.06472,2.86601,2.59525,2.9331,0.0013664,0.0013664,0.0013664
18,200.552,2.39726,2.10562,1.78751,0.8854,0.2,0.27295,0.07242,2.93156,2.20658,3.2393,0.0013268,0.0013268,0.0013268
19,211.553,2.35698,1.97622,1.84104,0.34613,0.4,0.28258,0.07218,2.73144,2.70223,3.0228,0.0012872,0.0012872,0.0012872
20,222.798,2.24229,1.95324,1.8034,0.48099,0.4,0.40823,0.12508,2.55014,2.0121,2.4334,0.0012476,0.0012476,0.0012476
21,233.874,2.23088,2.02414,1.74661,0.36272,0.53333,0.31064,0.10769,2.39722,2.04642,2.28861,0.001208,0.001208,0.001208
22,244.853,2.33679,1.89314,1.74139,0.23461,0.38865,0.25306,0.08893,2.48288,2.08884,2.37297,0.0011684,0.0011684,0.0011684
23,255.768,2.25251,1.93369,1.82396,0.61565,0.33333,0.40874,0.11619,2.33552,2.12522,2.3219,0.0011288,0.0011288,0.0011288
24,267.582,2.32472,1.84032,1.76806,0.39629,0.35104,0.36971,0.13486,2.52033,1.93256,2.7441,0.0010892,0.0010892,0.0010892
25,278.664,2.29697,1.85098,1.73806,0.6097,0.33333,0.44655,0.12903,2.37536,1.89731,2.53121,0.0010496,0.0010496,0.0010496
26,289.825,2.21183,1.91089,1.72788,0.43223,0.6,0.52103,0.17325,2.4768,2.07421,2.43311,0.00101,0.00101,0.00101
27,300.937,2.36678,1.89869,1.77734,0.54951,0.57032,0.48721,0.1601,2.48209,1.96749,2.34583,0.0009704,0.0009704,0.0009704
28,312.11,2.13537,1.72594,1.64618,0.62134,0.4,0.46092,0.11824,2.65305,2.03059,2.37936,0.0009308,0.0009308,0.0009308
29,323.13,2.17956,1.8452,1.66536,0.40995,0.46667,0.41797,0.11818,2.49611,2.0561,2.25225,0.0008912,0.0008912,0.0008912
30,334.129,2.13556,1.74339,1.68835,0.64234,0.46667,0.55869,0.14466,2.38334,1.84448,2.22085,0.0008516,0.0008516,0.0008516
31,345.139,2.23295,1.97135,1.7454,0.5297,0.6,0.43723,0.11926,2.40053,2.0227,2.29662,0.000812,0.000812,0.000812
32,356.27,2.1594,1.77496,1.63441,0.5989,0.33333,0.37128,0.11373,2.53619,2.10244,2.39896,0.0007724,0.0007724,0.0007724
33,367.313,2.12059,1.65684,1.63627,0.49641,0.39473,0.38332,0.12494,2.60696,2.24728,2.44899,0.0007328,0.0007328,0.0007328
34,378.39,2.0613,1.65184,1.62842,0.34383,0.52436,0.37229,0.12024,2.5352,2.0944,2.48621,0.0006932,0.0006932,0.0006932
35,389.447,2.06813,1.6024,1.61589,0.65808,0.33333,0.47777,0.15109,2.59366,1.99218,2.51874,0.0006536,0.0006536,0.0006536
36,400.455,1.94967,1.56312,1.61415,0.41586,0.4,0.4073,0.0993,2.8308,2.13466,2.65102,0.000614,0.000614,0.000614
37,411.484,2.0161,1.70671,1.56326,0.42828,0.33333,0.37205,0.08071,2.90057,2.22923,2.7244,0.0005744,0.0005744,0.0005744
38,422.653,2.02541,1.7581,1.62228,0.48978,0.33333,0.4288,0.10417,2.67948,2.14051,2.49492,0.0005348,0.0005348,0.0005348
39,433.615,2.04022,1.57394,1.58866,0.59479,0.4,0.47077,0.11977,2.58912,1.98098,2.49472,0.0004952,0.0004952,0.0004952
40,444.59,2.07155,1.51777,1.60195,0.58652,0.33333,0.47577,0.13058,2.5438,1.87846,2.45866,0.0004556,0.0004556,0.0004556
41,455.639,1.92691,1.61076,1.68525,0.4551,0.61298,0.49704,0.12826,2.45188,1.84333,2.39614,0.000416,0.000416,0.000416
42,466.625,1.95877,1.53315,1.70191,0.78658,0.49308,0.55506,0.14016,2.4002,1.86551,2.44257,0.0003764,0.0003764,0.0003764
43,477.514,1.93506,1.44261,1.69132,0.56946,0.6,0.54427,0.14354,2.41879,1.80712,2.48932,0.0003368,0.0003368,0.0003368
44,488.388,1.96237,1.39903,1.66665,0.74365,0.6,0.59612,0.16762,2.45549,1.77847,2.4907,0.0002972,0.0002972,0.0002972
45,499.151,1.79463,1.34523,1.60054,0.77104,0.6,0.57583,0.17248,2.49113,1.81765,2.41592,0.0002576,0.0002576,0.0002576
46,510.182,1.85596,1.33844,1.58167,0.7518,0.4,0.58427,0.16123,2.48284,1.78287,2.35302,0.000218,0.000218,0.000218
47,521.116,1.94177,1.42186,1.67283,0.77588,0.46667,0.58289,0.16314,2.46083,1.79151,2.34954,0.0001784,0.0001784,0.0001784
48,531.918,1.91793,1.35281,1.61424,0.79213,0.46667,0.65076,0.17567,2.45877,1.75027,2.40775,0.0001388,0.0001388,0.0001388
49,542.787,1.80764,1.38924,1.61242,0.82096,0.46667,0.65527,0.17793,2.46956,1.7233,2.44435,9.92e-05,9.92e-05,9.92e-05
50,553.942,1.8001,1.2751,1.64672,0.6739,0.55214,0.67187,0.16894,2.49524,1.71951,2.48159,5.96e-05,5.96e-05,5.96e-05
