epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9602,3.7066,4.34497,2.07294,0.05829,0.08403,0.01649,0.00346,3.37848,3.88066,1.83644,0.000663594,0.000663594,0.000663594
2,136.41,3.62331,3.58676,1.90572,0.10326,0.04202,0.03391,0.00729,3.35966,3.34219,1.76881,0.00130392,0.00130392,0.00130392
3,203.638,3.62595,3.3148,1.91005,0.10937,0.05882,0.02401,0.00565,3.47101,3.2076,1.80333,0.00191785,0.00191785,0.00191785
4,271.116,3.54874,3.18184,1.83512,0.09122,0.04202,0.02684,0.00578,3.44636,3.07553,1.79417,0.0018812,0.0018812,0.0018812
5,338.462,3.50397,3.11696,1.82028,0.08288,0.04202,0.02423,0.00439,3.573,3.28312,1.73293,0.0018416,0.0018416,0.0018416
6,405.572,3.49114,3.11205,1.76906,0.16045,0.07563,0.04083,0.01009,3.35195,2.80188,1.70526,0.001802,0.001802,0.001802
7,472.767,3.43763,2.99394,1.76307,0.12673,0.05882,0.05504,0.01475,3.30597,2.75624,1.65659,0.0017624,0.0017624,0.0017624
8,540.213,3.34124,2.89953,1.76816,0.2221,0.05042,0.05111,0.01253,3.30231,2.70377,1.75452,0.0017228,0.0017228,0.0017228
9,607.179,3.35057,2.875,1.75997,0.14239,0.10924,0.06815,0.01664,3.26221,2.66897,1.66748,0.0016832,0.0016832,0.0016832
10,674.325,3.27607,2.81448,1.66433,0.16876,0.10924,0.05114,0.01184,3.26306,2.64647,1.65612,0.0016436,0.0016436,0.0016436
11,742.034,3.25604,2.71308,1.68691,0.19571,0.11765,0.0778,0.01725,3.08191,2.53875,1.60869,0.001604,0.001604,0.001604
12,809.297,3.18063,2.6923,1.6565,0.15985,0.10084,0.0732,0.01913,2.99053,2.58109,1.57509,0.0015644,0.0015644,0.0015644
13,876.879,3.20565,2.66406,1.66271,0.25633,0.14286,0.10436,0.02745,3.07925,2.38029,1.57184,0.0015248,0.0015248,0.0015248
14,944.264,3.12994,2.62065,1.62682,0.22092,0.19328,0.1427,0.03835,2.97899,2.35539,1.52784,0.0014852,0.0014852,0.0014852
15,1011.76,3.15453,2.56987,1.64301,0.16419,0.18487,0.12268,0.03631,2.95162,2.38395,1.49792,0.0014456,0.0014456,0.0014456
16,1079.13,3.09334,2.53958,1.61057,0.23473,0.20168,0.14321,0.03579,3.03031,2.32035,1.53808,0.001406,0.001406,0.001406
17,1146.3,3.08413,2.50961,1.62276,0.27809,0.20168,0.14511,0.03675,2.95249,2.37422,1.47758,0.0013664,0.0013664,0.0013664
18,1213.87,3.10257,2.59408,1.59364,0.23868,0.2437,0.1306,0.03758,2.93681,2.32051,1.49908,0.0013268,0.0013268,0.0013268
19,1280.78,3.03261,2.51862,1.59066,0.42051,0.15126,0.1657,0.04424,2.85046,2.27431,1.50874,0.0012872,0.0012872,0.0012872
20,1348.06,2.96197,2.42475,1.55916,0.28327,0.26891,0.16783,0.04962,2.83668,2.23448,1.46704,0.0012476,0.0012476,0.0012476
21,1414.99,3.00068,2.4138,1.58081,0.23157,0.26891,0.13503,0.04609,2.83301,2.1619,1.50271,0.001208,0.001208,0.001208
22,1481.13,2.95437,2.40869,1.52919,0.29127,0.26891,0.18876,0.06393,2.78912,2.08008,1.46342,0.0011684,0.0011684,0.0011684
23,1547.9,2.92997,2.36812,1.53796,0.25705,0.30252,0.19067,0.05184,2.77077,2.13295,1.45473,0.0011288,0.0011288,0.0011288
24,1613.75,2.93409,2.34219,1.5507,0.4135,0.21922,0.20357,0.05411,2.9774,2.20944,1.49827,0.0010892,0.0010892,0.0010892
25,1679.55,2.93542,2.35665,1.54368,0.46022,0.2521,0.24517,0.06215,2.8163,2.08736,1.44207,0.0010496,0.0010496,0.0010496
26,1745.11,2.88868,2.33551,1.53309,0.45662,0.27542,0.26091,0.07493,2.87675,2.06897,1.46958,0.00101,0.00101,0.00101
27,1811.23,2.84709,2.27956,1.51339,0.35399,0.2437,0.24702,0.0733,2.75595,2.05171,1.41982,0.0009704,0.0009704,0.0009704
28,1877.26,2.90175,2.29485,1.52687,0.33619,0.2724,0.21312,0.05783,2.71501,2.06721,1.41031,0.0009308,0.0009308,0.0009308
29,1942.81,2.85063,2.25058,1.50217,0.32427,0.33613,0.25272,0.07496,2.71074,1.97597,1.40456,0.0008912,0.0008912,0.0008912
30,2012.24,2.81625,2.22275,1.46073,0.33579,0.27191,0.19701,0.05728,2.87562,2.10261,1.43963,0.0008516,0.0008516,0.0008516
31,2084.56,2.78698,2.16415,1.45851,0.44565,0.31092,0.29967,0.0863,2.78411,2.00534,1.44814,0.000812,0.000812,0.000812
32,2153.7,2.74708,2.17876,1.46899,0.39953,0.29412,0.25522,0.08163,2.71267,1.95884,1.4378,0.0007724,0.0007724,0.0007724
33,2222.7,2.72153,2.10711,1.44822,0.35165,0.35294,0.28554,0.0876,2.6894,1.93784,1.40313,0.0007328,0.0007328,0.0007328
34,2292.35,2.73358,2.12193,1.45606,0.32471,0.31933,0.22444,0.06641,2.69981,1.9799,1.4118,0.0006932,0.0006932,0.0006932
35,2361.66,2.66363,2.09596,1.45434,0.45527,0.32773,0.2712,0.07666,2.6582,1.91492,1.41876,0.0006536,0.0006536,0.0006536
36,2431.01,2.68835,2.07365,1.45677,0.65257,0.28571,0.3223,0.10104,2.59129,1.87644,1.39651,0.000614,0.000614,0.000614
37,2500.67,2.64824,2.01428,1.43015,0.46529,0.37815,0.33359,0.09805,2.57057,1.85008,1.38552,0.0005744,0.0005744,0.0005744
38,2570.23,2.64755,2.07121,1.44119,0.49948,0.31933,0.32223,0.09873,2.60266,1.84304,1.39918,0.0005348,0.0005348,0.0005348
39,2639.89,2.63672,2.00947,1.42337,0.50905,0.29412,0.31762,0.09473,2.63262,1.86513,1.39234,0.0004952,0.0004952,0.0004952
40,2706.41,2.6414,2.03406,1.41697,0.61456,0.29478,0.35608,0.0994,2.56377,1.83388,1.36213,0.0004556,0.0004556,0.0004556
41,2772.5,2.60388,1.97362,1.40609,0.43661,0.28571,0.305,0.09104,2.58972,1.84192,1.37115,0.000416,0.000416,0.000416
42,2838.59,2.56436,1.93313,1.3972,0.43997,0.35294,0.30516,0.09722,2.63341,1.80283,1.38321,0.0003764,0.0003764,0.0003764
43,2904.22,2.57202,1.95389,1.4116,0.47144,0.38655,0.3379,0.1095,2.53574,1.79652,1.3623,0.0003368,0.0003368,0.0003368
44,2970.35,2.54029,1.92706,1.39691,0.54992,0.34454,0.33487,0.10531,2.60256,1.73877,1.40139,0.0002972,0.0002972,0.0002972
45,3036.24,2.55746,1.90497,1.37494,0.4775,0.36134,0.34178,0.1052,2.56238,1.75559,1.38122,0.0002576,0.0002576,0.0002576
46,3102.69,2.50516,1.85902,1.36021,0.4791,0.33613,0.33273,0.10131,2.59455,1.76116,1.36367,0.000218,0.000218,0.000218
