epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.237,2.77209,4.30478,2.35164,0.01951,0.05128,0.0066,0.00184,2.71306,4.74707,2.35966,0.000663265,0.000663265,0.000663265
2,473.249,2.68083,3.62838,2.15633,0.48382,0.01626,0.01691,0.00739,2.96171,4.05096,2.43987,0.0013036,0.0013036,0.0013036
3,708.31,2.65072,3.40904,2.14121,0.13904,0.09402,0.03603,0.01018,2.80355,5.23004,2.58662,0.00191753,0.00191753,0.00191753
4,943.263,2.60326,3.1899,2.15519,0.14363,0.13675,0.0788,0.02723,2.53035,3.62011,2.23798,0.0018812,0.0018812,0.0018812
5,1177.11,2.52893,3.05324,2.11212,0.23332,0.17094,0.10866,0.03509,2.54362,3.10501,2.37293,0.0018416,0.0018416,0.0018416
6,1412.33,2.50293,2.90081,2.11053,0.27865,0.19658,0.14276,0.05927,2.38547,2.89366,2.12016,0.001802,0.001802,0.001802
7,1647.15,2.45682,2.69102,2.05203,0.23557,0.15385,0.1254,0.04111,2.41932,2.81352,2.23028,0.0017624,0.0017624,0.0017624
8,1882.56,2.4094,2.77764,1.98996,0.4021,0.17094,0.15647,0.05855,2.26094,2.82788,2.07031,0.0017228,0.0017228,0.0017228
9,2124.87,2.36177,2.59911,1.95935,0.41519,0.22455,0.20861,0.07218,2.26132,2.63727,2.06241,0.0016832,0.0016832,0.0016832
10,2370.19,2.32068,2.51532,1.98719,0.32425,0.25641,0.26131,0.09707,2.24018,2.47566,2.06127,0.0016436,0.0016436,0.0016436
