epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.301,3.63622,3.51413,1.56022,0.08798,0.02226,0.01691,0.00402,3.37211,3.05895,1.3862,0.000666195,0.000666195,0.000666195
2,1119.45,3.47412,3.00908,1.46188,0.11125,0.06733,0.03244,0.00856,3.31693,3.29449,1.37752,0.00128008,0.00128008,0.00128008
3,1701.26,3.40543,2.9343,1.43482,0.12529,0.05874,0.03009,0.00763,3.2948,2.91449,1.40337,0.00184117,0.00184117,0.00184117
4,2324.21,3.33447,2.88462,1.41263,0.16545,0.05787,0.04175,0.01222,3.15847,2.77765,1.41422,0.0017624,0.0017624,0.0017624
5,2894.97,3.27637,2.80347,1.40124,0.15654,0.09126,0.05644,0.01619,3.09494,2.71332,1.37099,0.0016832,0.0016832,0.0016832
6,3459.08,3.21478,2.72027,1.37533,0.1984,0.10462,0.0683,0.01877,3.03094,2.63631,1.30763,0.001604,0.001604,0.001604
7,4012.58,3.14132,2.66255,1.36035,0.1991,0.12298,0.07249,0.01935,3.06742,2.6111,1.32476,0.0015248,0.0015248,0.0015248
8,4572.53,3.12054,2.61358,1.33683,0.20355,0.133,0.08254,0.02425,2.9867,2.5693,1.3306,0.0014456,0.0014456,0.0014456
9,5124.21,3.07718,2.59587,1.3391,0.23319,0.14747,0.09985,0.02759,3.00065,2.47147,1.31505,0.0013664,0.0013664,0.0013664
10,5702.09,3.05146,2.52319,1.33794,0.22881,0.14858,0.09938,0.02837,2.97051,2.43589,1.30691,0.0012872,0.0012872,0.0012872
11,6230.98,2.99493,2.48945,1.31053,0.23848,0.15359,0.09962,0.02769,2.95061,2.50367,1.31232,0.001208,0.001208,0.001208
12,6761.79,2.96363,2.44683,1.30254,0.22323,0.1675,0.09769,0.02788,2.90975,2.44623,1.26879,0.0011288,0.0011288,0.0011288
13,7293.19,2.94356,2.4391,1.2919,0.23663,0.15415,0.10626,0.03292,2.92668,2.41675,1.28174,0.0010496,0.0010496,0.0010496
14,7821.61,2.93537,2.42332,1.29974,0.22295,0.17474,0.11884,0.03635,2.85316,2.35359,1.28839,0.0009704,0.0009704,0.0009704
15,8356.26,2.88441,2.3586,1.28844,0.28042,0.19477,0.13908,0.04068,2.82889,2.31054,1.26542,0.0008912,0.0008912,0.0008912
16,8887.2,2.79847,2.29732,1.32875,0.30193,0.19699,0.14627,0.04374,2.81046,2.26727,1.2444,0.000812,0.000812,0.000812
17,9420,2.73588,2.22203,1.31137,0.26924,0.21569,0.14623,0.04503,2.79416,2.25059,1.24567,0.0007328,0.0007328,0.0007328
18,9956.43,2.72961,2.20006,1.2981,0.289,0.20979,0.15407,0.04765,2.75395,2.20628,1.23263,0.0006536,0.0006536,0.0006536
19,10496.2,2.69169,2.15065,1.29348,0.3192,0.23094,0.17814,0.0547,2.76206,2.16982,1.2459,0.0005744,0.0005744,0.0005744
20,11032.7,2.67169,2.12197,1.29051,0.30735,0.22538,0.18481,0.05667,2.70957,2.15022,1.22257,0.0004952,0.0004952,0.0004952
21,11568,2.65716,2.09313,1.28124,0.32696,0.23873,0.18894,0.06022,2.72116,2.1106,1.23141,0.000416,0.000416,0.000416
22,12100.6,2.61654,2.08119,1.26759,0.35425,0.24819,0.20363,0.06347,2.70809,2.08999,1.22091,0.0003368,0.0003368,0.0003368
23,12639.3,2.60999,2.03659,1.25648,0.3645,0.2571,0.21022,0.06493,2.69636,2.07892,1.21095,0.0002576,0.0002576,0.0002576
24,13175.9,2.58666,2.00565,1.26236,0.36599,0.25506,0.21435,0.06527,2.69679,2.06084,1.22439,0.0001784,0.0001784,0.0001784
25,13711,2.56736,1.98468,1.24949,0.38197,0.26099,0.22175,0.06983,2.68044,2.03957,1.214,9.92e-05,9.92e-05,9.92e-05
