epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,968.597,3.31555,3.48762,1.71547,0.0919,0.07154,0.03913,0.01397,3.02145,3.02943,1.50498,0.000666425,0.000666425,0.000666425
2,1902.41,3.17618,3.00881,1.6209,0.19622,0.06513,0.05574,0.01592,3.00556,2.82918,1.49064,0.0013067,0.0013067,0.0013067
3,2833.95,3.10761,2.92277,1.59277,0.13767,0.09591,0.05705,0.01653,2.94109,2.83531,1.45247,0.00192057,0.00192057,0.00192057
4,3794.34,3.03609,2.82264,1.56426,0.1958,0.1267,0.07383,0.02195,2.86971,2.68427,1.42245,0.0018812,0.0018812,0.0018812
5,4758.29,2.95311,2.71244,1.52586,0.2028,0.15038,0.09236,0.02752,2.80008,2.60227,1.38009,0.0018416,0.0018416,0.0018416
6,5715.31,2.8919,2.62634,1.50174,0.23238,0.1788,0.10898,0.03303,2.77823,2.54392,1.42578,0.001802,0.001802,0.001802
7,6664.01,2.82933,2.55429,1.48605,0.28632,0.18709,0.14783,0.04683,2.71234,2.39764,1.36709,0.0017624,0.0017624,0.0017624
8,7582.92,2.79299,2.47979,1.46335,0.27383,0.20485,0.14628,0.04612,2.69982,2.42535,1.3698,0.0017228,0.0017228,0.0017228
9,8498.49,2.75297,2.44128,1.44591,0.29615,0.19531,0.15561,0.04869,2.64427,2.34505,1.34951,0.0016832,0.0016832,0.0016832
10,9386.81,2.72558,2.3776,1.44209,0.28478,0.19049,0.15646,0.05309,2.71615,2.33572,1.32411,0.0016436,0.0016436,0.0016436
11,10317.8,2.69909,2.35224,1.42233,0.28879,0.23031,0.1732,0.05431,2.64095,2.3055,1.35483,0.001604,0.001604,0.001604
12,11273.7,2.65902,2.30101,1.40416,0.32044,0.25104,0.19587,0.06496,2.57492,2.23323,1.31299,0.0015644,0.0015644,0.0015644
13,12167,2.654,2.27479,1.40754,0.38177,0.25044,0.23183,0.0774,2.59202,2.1869,1.33636,0.0015248,0.0015248,0.0015248
14,13060.4,2.61729,2.24825,1.38896,0.34874,0.25518,0.21259,0.06917,2.57419,2.18687,1.29047,0.0014852,0.0014852,0.0014852
